Game Version,Update Date,Team Avatar,Team Name,ID,Overall,Attack,Midfield,Defence,Transfer budget,Club worth,Speed,Dribbling,Passing,Positioning,Crossing,Shooting,Aggression,Pressure,Team width,Defender line,Domestic prestige,International prestige,Players,Starting XI average age,Whole team average age
FIFA 19,Sep 11 2019,https://cdn.sofifa.net/meta/team/9/60.png,Manchester City,10,85,86,88,82,€170M,€2.8B,Slow,Normal,Short,Free form,Normal,Normal,Double,Medium,Normal,Cover,10,9,33,26.27,23.88
FIFA 19,Sep 11 2019,https://cdn.sofifa.net/meta/team/18/60.png,Chelsea,5,83,85,83,82,€95M,€2.5B,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,High,Normal,Cover,9,9,33,26.64,24.12
FIFA 19,Sep 11 2019,https://cdn.sofifa.net/meta/team/8/60.png,Liverpool,9,83,86,82,82,€90M,€2.4B,Balanced,Lots,Mixed,Organised,Normal,Normal,Double,Medium,Wide,Cover,9,8,33,25.18,23.09
FIFA 19,Sep 11 2019,https://cdn.sofifa.net/meta/team/6/60.png,Tottenham Hotspur,18,83,86,82,83,€85M,€2.4B,Balanced,Normal,Mixed,Organised,Normal,Little,Double,Medium,Narrow,Cover,9,8,33,26.55,23.91
FIFA 19,Sep 11 2019,https://cdn.sofifa.net/meta/team/19/60.png,Arsenal,1,82,82,83,80,€92.5M,€2.4B,Balanced,Normal,Short,Organised,Normal,Normal,Press,High,Narrow,Cover,8,8,33,26.73,24.09
FIFA 19,Sep 11 2019,https://cdn.sofifa.net/meta/team/14/60.png,Manchester United,11,82,83,83,80,€175M,€3.5B,Balanced,Lots,Mixed,Organised,Normal,Normal,Double,High,Normal,Cover,10,10,33,25.82,24.03
FIFA 19,Sep 11 2019,https://cdn.sofifa.net/meta/team/18645/60.png,England,1318,82,85,81,81,€0,€0,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,10,8,23,24.45,23.91
FIFA 19,Sep 11 2019,https://cdn.sofifa.net/meta/team/13/60.png,Everton,7,79,77,80,79,€75M,€1.1B,Balanced,Little,Mixed,Organised,Lots,Normal,Press,Medium,Narrow,Cover,7,6,33,24.73,23.61
FIFA 19,Sep 11 2019,https://cdn.sofifa.net/meta/team/1/60.png,West Ham United,19,78,78,78,77,€74M,€1.1B,Balanced,Normal,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,6,5,33,28.09,25.55
FIFA 19,Sep 11 2019,https://cdn.sofifa.net/meta/team/42/60.png,Leicester City,95,78,78,76,79,€55M,€979M,Balanced,Little,Mixed,Organised,Normal,Normal,Press,Medium,Normal,Cover,5,5,33,24.82,24.21
